Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
7-September-2020,130.1,130.15,125.0,128.2,3347,110,Pokarna Ltd.
4-September-2020,134.6,138.5,130.0,130.65,10194,196,Pokarna Ltd.
3-September-2020,135.85,139.9,134.55,135.15,5573,261,Pokarna Ltd.
2-September-2020,130.1,135.8,130.05,134.5,3313,77,Pokarna Ltd.
1-September-2020,134.0,140.6,127.5,129.9,15702,673,Pokarna Ltd.
31-August-2020,138.25,141.0,132.05,134.0,18228,345,Pokarna Ltd.
28-August-2020,148.95,148.95,138.75,138.9,8508,235,Pokarna Ltd.
27-August-2020,148.6,149.0,142.25,142.6,9850,268,Pokarna Ltd.
26-August-2020,143.0,148.95,142.2,148.85,22237,194,Pokarna Ltd.
25-August-2020,144.9,148.9,139.7,141.9,10275,184,Pokarna Ltd.
24-August-2020,148.65,149.1,143.7,146.85,5096,72,Pokarna Ltd.
21-August-2020,149.1,151.5,143.5,143.65,6296,112,Pokarna Ltd.
20-August-2020,148.0,148.95,146.0,146.25,4249,137,Pokarna Ltd.
19-August-2020,150.0,156.4,148.0,149.45,7665,220,Pokarna Ltd.
18-August-2020,150.6,151.3,141.0,151.1,10655,197,Pokarna Ltd.
17-August-2020,148.0,149.8,141.0,144.1,8972,89,Pokarna Ltd.
14-August-2020,158.0,158.0,146.0,148.2,9596,82,Pokarna Ltd.
13-August-2020,146.0,153.65,146.0,153.65,29901,116,Pokarna Ltd.
12-August-2020,147.5,151.7,145.55,146.35,7803,81,Pokarna Ltd.
11-August-2020,159.0,159.0,147.0,151.65,16410,200,Pokarna Ltd.
10-August-2020,151.0,153.75,151.0,153.75,24723,153,Pokarna Ltd.
7-August-2020,153.45,153.45,145.0,146.45,12931,130,Pokarna Ltd.
6-August-2020,139.1,147.45,134.0,147.45,34913,215,Pokarna Ltd.
5-August-2020,142.0,142.0,132.5,140.45,11024,77,Pokarna Ltd.
4-August-2020,140.0,142.5,132.05,137.0,6625,72,Pokarna Ltd.
3-August-2020,133.95,137.15,125.05,136.25,10776,126,Pokarna Ltd.
31-July-2020,141.4,141.4,129.2,130.65,10844,158,Pokarna Ltd.
30-July-2020,133.25,141.8,133.0,135.95,14821,167,Pokarna Ltd.
29-July-2020,142.0,142.0,135.7,138.25,11589,136,Pokarna Ltd.
28-July-2020,142.95,143.0,137.15,142.8,87271,354,Pokarna Ltd.
27-July-2020,125.15,136.55,124.0,136.2,55876,267,Pokarna Ltd.
24-July-2020,136.8,139.5,130.0,130.05,10132,93,Pokarna Ltd.
23-July-2020,131.05,141.85,131.05,136.8,15689,49,Pokarna Ltd.
22-July-2020,132.7,144.0,132.7,135.5,8586,75,Pokarna Ltd.
21-July-2020,133.55,139.25,130.15,138.0,3105,32,Pokarna Ltd.
20-July-2020,133.0,139.65,128.8,134.25,10677,122,Pokarna Ltd.
17-July-2020,135.45,135.85,130.0,133.0,20804,71,Pokarna Ltd.
16-July-2020,128.05,137.8,125.25,129.4,7160,58,Pokarna Ltd.
15-July-2020,134.8,135.75,123.4,131.8,15530,118,Pokarna Ltd.
14-July-2020,136.0,136.0,129.3,129.3,3291,48,Pokarna Ltd.
13-July-2020,135.45,140.0,135.45,136.1,9939,56,Pokarna Ltd.
10-July-2020,151.0,151.0,142.55,142.55,965,15,Pokarna Ltd.
9-July-2020,158.15,158.15,144.15,150.05,32707,115,Pokarna Ltd.
8-July-2020,150.65,150.65,150.65,150.65,3433,23,Pokarna Ltd.
7-July-2020,142.65,143.5,142.65,143.5,437,13,Pokarna Ltd.
6-July-2020,136.0,136.7,136.0,136.7,1351,20,Pokarna Ltd.
3-July-2020,128.95,130.2,122.05,130.2,3258,53,Pokarna Ltd.
2-July-2020,118.1,124.0,117.05,124.0,47325,62,Pokarna Ltd.
1-July-2020,123.2,123.2,114.1,118.1,1826,24,Pokarna Ltd.
30-June-2020,113.55,123.0,113.55,118.0,11503,101,Pokarna Ltd.
29-June-2020,111.0,117.5,109.5,117.5,13631,50,Pokarna Ltd.
26-June-2020,119.0,119.0,110.65,111.95,7104,43,Pokarna Ltd.
25-June-2020,111.05,117.95,111.05,114.9,1912,19,Pokarna Ltd.
24-June-2020,122.2,122.2,111.15,112.9,7336,49,Pokarna Ltd.
23-June-2020,126.0,126.15,115.5,117.0,80290,170,Pokarna Ltd.
22-June-2020,114.0,120.15,114.0,120.15,65832,160,Pokarna Ltd.
19-June-2020,110.0,116.1,106.15,114.45,39033,177,Pokarna Ltd.
18-June-2020,106.0,113.65,105.5,110.6,5787,44,Pokarna Ltd.
17-June-2020,100.1,108.25,100.1,108.25,2740,13,Pokarna Ltd.
16-June-2020,103.0,104.0,103.0,103.1,694,11,Pokarna Ltd.
15-June-2020,104.0,104.05,103.0,103.0,127,13,Pokarna Ltd.
12-June-2020,112.0,112.0,103.1,104.7,1532,25,Pokarna Ltd.
11-June-2020,104.0,108.0,104.0,106.95,3644,27,Pokarna Ltd.
10-June-2020,105.1,112.2,103.85,104.0,3911,35,Pokarna Ltd.
9-June-2020,108.05,116.2,108.05,109.3,32030,19,Pokarna Ltd.
8-June-2020,110.0,116.6,110.0,113.3,2261,31,Pokarna Ltd.
5-June-2020,113.95,118.2,110.1,111.05,4448,39,Pokarna Ltd.
4-June-2020,115.25,115.25,105.0,113.0,6998,38,Pokarna Ltd.
3-June-2020,106.0,109.8,105.0,109.8,12770,28,Pokarna Ltd.
2-June-2020,113.0,113.0,103.9,104.6,5232,37,Pokarna Ltd.
1-June-2020,108.0,109.2,107.0,109.2,8197,42,Pokarna Ltd.
29-May-2020,98.0,104.95,98.0,104.0,757,24,Pokarna Ltd.
28-May-2020,100.0,103.8,97.4,100.0,604,10,Pokarna Ltd.
27-May-2020,97.3,100.95,95.6,100.0,6107,29,Pokarna Ltd.
26-May-2020,95.0,99.0,91.1,99.0,1713,24,Pokarna Ltd.
22-May-2020,96.75,104.8,95.15,95.15,1236,20,Pokarna Ltd.
