Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
20-January-2024,32.34,32.34,30.0,30.45,30567,384,Ambica Agarbathies & Aroma Ind. Ltd.
19-January-2024,30.1,31.94,30.1,31.37,3969,86,Ambica Agarbathies & Aroma Ind. Ltd.
18-January-2024,32.19,32.5,30.53,30.71,20574,193,Ambica Agarbathies & Aroma Ind. Ltd.
17-January-2024,31.0,31.9,30.46,31.56,14494,154,Ambica Agarbathies & Aroma Ind. Ltd.
16-January-2024,31.64,32.96,30.12,31.49,45746,340,Ambica Agarbathies & Aroma Ind. Ltd.
15-January-2024,30.65,31.8,30.35,30.97,19321,155,Ambica Agarbathies & Aroma Ind. Ltd.
12-January-2024,30.1,30.64,30.1,30.56,5543,93,Ambica Agarbathies & Aroma Ind. Ltd.
11-January-2024,30.3,31.0,29.9,29.9,10622,174,Ambica Agarbathies & Aroma Ind. Ltd.
10-January-2024,30.84,31.0,30.22,30.35,7245,167,Ambica Agarbathies & Aroma Ind. Ltd.
9-January-2024,29.79,31.5,29.79,30.32,5072,177,Ambica Agarbathies & Aroma Ind. Ltd.
8-January-2024,30.6,31.34,30.15,30.4,11903,203,Ambica Agarbathies & Aroma Ind. Ltd.
5-January-2024,30.46,30.74,29.5,29.99,5048,97,Ambica Agarbathies & Aroma Ind. Ltd.
4-January-2024,29.26,30.5,29.21,29.85,36443,207,Ambica Agarbathies & Aroma Ind. Ltd.
3-January-2024,30.54,30.54,29.0,29.25,25941,137,Ambica Agarbathies & Aroma Ind. Ltd.
2-January-2024,32.85,32.85,28.85,29.86,2931,36,Ambica Agarbathies & Aroma Ind. Ltd.
1-January-2024,30.48,30.48,29.7,29.88,4729,57,Ambica Agarbathies & Aroma Ind. Ltd.
29-December-2023,30.81,30.81,29.36,29.88,3867,64,Ambica Agarbathies & Aroma Ind. Ltd.
28-December-2023,30.85,31.34,27.8,29.47,33340,278,Ambica Agarbathies & Aroma Ind. Ltd.
27-December-2023,32.0,32.0,30.45,30.85,42523,262,Ambica Agarbathies & Aroma Ind. Ltd.
26-December-2023,32.45,32.89,31.61,32.55,4928,58,Ambica Agarbathies & Aroma Ind. Ltd.
22-December-2023,32.75,33.5,31.4,31.81,19130,131,Ambica Agarbathies & Aroma Ind. Ltd.
21-December-2023,31.21,32.7,31.21,32.7,9744,29,Ambica Agarbathies & Aroma Ind. Ltd.
20-December-2023,35.0,35.0,30.75,31.85,14482,143,Ambica Agarbathies & Aroma Ind. Ltd.
19-December-2023,32.95,33.74,32.62,32.66,19086,83,Ambica Agarbathies & Aroma Ind. Ltd.
18-December-2023,32.85,32.85,30.46,32.34,17595,152,Ambica Agarbathies & Aroma Ind. Ltd.
15-December-2023,32.89,32.89,30.71,30.99,7777,108,Ambica Agarbathies & Aroma Ind. Ltd.
14-December-2023,32.95,32.95,31.04,31.14,6800,123,Ambica Agarbathies & Aroma Ind. Ltd.
13-December-2023,33.45,33.45,31.5,32.2,9299,58,Ambica Agarbathies & Aroma Ind. Ltd.
12-December-2023,32.04,32.89,30.55,31.52,11125,72,Ambica Agarbathies & Aroma Ind. Ltd.
11-December-2023,32.1,33.5,30.88,30.96,29453,168,Ambica Agarbathies & Aroma Ind. Ltd.
8-December-2023,31.45,31.45,29.2,30.88,41675,62,Ambica Agarbathies & Aroma Ind. Ltd.
7-December-2023,30.5,30.5,29.26,29.99,6054,36,Ambica Agarbathies & Aroma Ind. Ltd.
6-December-2023,29.75,30.2,29.26,29.95,13431,24,Ambica Agarbathies & Aroma Ind. Ltd.
5-December-2023,29.2,30.5,29.2,29.7,10291,51,Ambica Agarbathies & Aroma Ind. Ltd.
4-December-2023,31.98,31.98,29.6,30.29,12213,28,Ambica Agarbathies & Aroma Ind. Ltd.
1-December-2023,30.89,31.39,30.25,30.52,14056,38,Ambica Agarbathies & Aroma Ind. Ltd.
30-November-2023,31.78,31.78,30.26,30.31,10152,41,Ambica Agarbathies & Aroma Ind. Ltd.
29-November-2023,30.45,31.72,29.05,31.72,27248,88,Ambica Agarbathies & Aroma Ind. Ltd.
28-November-2023,29.17,30.61,29.17,30.21,14344,53,Ambica Agarbathies & Aroma Ind. Ltd.
24-November-2023,29.7,30.0,29.7,29.75,6055,11,Ambica Agarbathies & Aroma Ind. Ltd.
