Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
21-April-2017,10.99,11.44,10.8,11.44,1036,11,HB Estate Developers Ltd.
20-April-2017,10.4,10.8,10.4,10.4,326,7,HB Estate Developers Ltd.
19-April-2017,10.3,10.7,10.3,10.5,1168,9,HB Estate Developers Ltd.
18-April-2017,10.3,11.0,10.3,10.3,807,11,HB Estate Developers Ltd.
17-April-2017,10.6,10.9,10.3,10.44,425,11,HB Estate Developers Ltd.
13-April-2017,10.25,10.5,10.21,10.5,1729,16,HB Estate Developers Ltd.
12-April-2017,10.2,10.5,10.2,10.3,553,5,HB Estate Developers Ltd.
11-April-2017,10.25,10.3,10.25,10.3,220,6,HB Estate Developers Ltd.
10-April-2017,10.5,10.5,10.25,10.5,569,8,HB Estate Developers Ltd.
7-April-2017,10.25,10.7,10.25,10.5,1002,11,HB Estate Developers Ltd.
6-April-2017,10.3,10.98,10.3,10.9,275,8,HB Estate Developers Ltd.
5-April-2017,10.05,10.21,10.05,10.21,100,4,HB Estate Developers Ltd.
3-April-2017,9.7,10.8,9.7,10.8,1147,11,HB Estate Developers Ltd.
31-March-2017,9.8,10.5,9.8,10.5,950,9,HB Estate Developers Ltd.
30-March-2017,9.7,10.0,9.7,10.0,1283,13,HB Estate Developers Ltd.
29-March-2017,10.0,10.5,9.75,9.81,2056,20,HB Estate Developers Ltd.
28-March-2017,9.75,10.5,9.75,10.0,713,17,HB Estate Developers Ltd.
27-March-2017,9.8,9.8,9.8,9.8,75,2,HB Estate Developers Ltd.
24-March-2017,9.5,10.0,9.48,10.0,243,11,HB Estate Developers Ltd.
23-March-2017,9.5,10.28,9.5,9.8,900,17,HB Estate Developers Ltd.
22-March-2017,9.5,10.0,9.2,9.35,454,13,HB Estate Developers Ltd.
21-March-2017,10.0,10.0,10.0,10.0,73,2,HB Estate Developers Ltd.
17-March-2017,9.5,10.0,9.4,9.41,550,16,HB Estate Developers Ltd.
