Date,Open,High,Low,Close,Volume
2024-02-07,79.47,79.47,79.47,79.47,14331
2024-02-06,75.69,75.69,75.69,75.69,9727
2024-02-05,72.09,72.09,72.09,72.09,17891
2024-02-02,68.66,68.66,68.66,68.66,18073
2024-02-01,70.06,70.06,70.06,70.06,21220
2024-01-31,71.48,71.48,71.48,71.48,12267
2024-01-30,72.93,72.93,72.93,72.93,7660
2024-01-29,74.41,74.41,74.41,74.41,3745
2024-01-25,75.92,75.92,75.92,75.92,16118
2024-01-24,77.46,77.46,77.46,77.46,9530
2024-01-23,79.04,79.04,79.04,79.04,15195
2024-01-20,80.65,80.65,80.65,80.65,6004
2024-01-19,76.0,79.07,76.0,79.07,44219
2024-01-18,77.52,77.52,77.52,77.52,22182
2024-01-17,79.1,79.1,79.1,79.1,16280
2024-01-16,83.99,83.99,80.71,80.71,105625
2024-01-15,82.35,82.35,82.35,82.35,12230
2024-01-12,80.74,80.74,80.74,80.74,4856
2024-01-11,79.16,79.16,79.16,79.16,5393
2024-01-10,77.61,77.61,77.61,77.61,4882
2024-01-09,76.09,76.09,76.09,76.09,8755
2024-01-08,74.6,74.6,74.6,74.6,8151
2024-01-05,73.14,73.14,73.14,73.14,22550
2024-01-04,71.71,71.71,71.71,71.71,8888
2024-01-03,70.31,70.31,70.31,70.31,5739
2024-01-02,68.94,68.94,68.94,68.94,15683
2024-01-01,66.3,67.59,66.3,67.59,27255
2023-12-29,66.27,66.27,66.27,66.27,7517
2023-12-28,67.62,67.62,67.62,67.62,8739
2023-12-27,69.62,69.62,69.0,69.0,15170
2023-12-26,68.27,68.27,68.27,68.27,12878
2023-12-22,66.94,66.94,66.94,66.94,46831
2023-12-21,63.4125,65.625,63.39,65.625,28911
2023-12-20,64.68,64.68,64.68,64.68,39089
2023-12-19,67.5,67.5,64.875,66.0,102487
2023-12-18,66.195,66.195,66.195,66.195,38531
2023-12-15,86.53,86.53,86.53,86.53,9950
2023-12-14,84.84,84.84,84.84,84.84,14041
2023-12-13,83.18,83.18,83.18,83.18,20402
2023-12-12,81.55,81.55,81.55,81.55,10234
2023-12-11,78.99,79.96,78.99,79.96,40815
2023-12-08,79.88,79.91,78.4,78.4,22431
2023-12-07,76.89,78.35,76.89,78.35,11775
2023-12-06,76.89,76.89,76.85,76.89,19689
2023-12-05,73.92,75.39,73.92,75.39,23256
2023-12-04,73.92,73.92,73.92,73.92,14501
2023-12-01,75.95,75.95,75.42,75.42,8440
2023-11-30,78.4,78.4,76.95,76.95,22829
2023-11-29,77.01,77.01,77.01,77.01,19290
2023-11-28,75.25,75.5,74.0,75.5,36378
2023-11-24,75.25,75.25,75.25,75.25,13559
2023-11-23,76.78,76.78,76.78,76.78,15344
2023-11-22,80.0,80.0,78.34,78.34,43893
2023-11-21,79.93,79.93,79.93,79.93,7493
2023-11-20,78.37,78.37,78.37,78.37,5285
2023-11-17,76.84,76.84,76.84,76.84,2195
2023-11-16,75.34,75.34,75.34,75.34,8243
2023-11-15,73.55,73.87,73.55,73.87,23185
2023-11-13,72.42,72.43,72.38,72.43,42081
2023-11-10,69.62,69.62,69.62,69.62,29064
2023-11-09,68.26,68.26,68.26,68.26,23749
2023-11-08,66.93,66.93,66.93,66.93,4322
2023-11-07,65.62,65.62,65.62,65.62,8615
2023-11-06,64.34,64.34,64.34,64.34,7774
2023-11-03,61.85,63.08,61.85,63.08,9723
2023-11-02,61.0,61.87,61.0,61.85,27180
