Date,Open,High,Low,Close,Volume
2024-02-12,6.52,6.52,6.52,6.52,3184823
2024-02-09,6.64,6.65,6.05,6.65,19064866
2024-02-08,6.34,6.34,5.91,6.34,21896651
2024-02-07,5.98,6.04,5.76,6.04,12452002
2024-02-06,5.68,5.76,5.62,5.76,8974318
2024-02-05,5.23,5.49,5.0,5.49,11320373
2024-02-02,5.47,5.47,5.2,5.23,8348619
2024-02-01,5.5,5.55,5.25,5.39,8039341
2024-01-31,5.55,5.55,5.25,5.47,8045667
2024-01-30,5.61,5.7,5.36,5.45,11078863
2024-01-29,5.75,5.8,5.38,5.61,16171886
2024-01-25,5.35,5.62,5.1,5.62,16435092
2024-01-24,5.7,5.78,5.33,5.36,14544640
2024-01-23,6.07,6.09,5.53,5.61,26253760
2024-01-20,5.82,5.82,5.7,5.82,15680778
2024-01-19,5.47,5.55,5.4,5.55,21049301
2024-01-18,5.15,5.38,4.9,5.29,29220221
2024-01-17,4.68,5.16,4.68,5.14,32345471
2024-01-16,4.92,4.92,4.92,4.92,5808473
2024-01-15,5.44,5.69,5.17,5.17,36406941
2024-01-12,5.44,5.44,5.44,5.44,6028008
2024-01-11,5.19,5.19,5.19,5.19,5534151
2024-01-10,4.83,4.95,4.72,4.95,56482299
2024-01-09,4.72,4.72,4.72,4.72,6111464
2024-01-08,4.5,4.5,4.5,4.5,8058546
2024-01-05,4.29,4.29,4.01,4.29,52644044
2024-01-04,3.8,3.9,3.7,3.9,28478487
2024-01-03,3.2,3.55,3.2,3.55,40186537
2024-01-02,3.24,3.28,3.2,3.23,7568794
2024-01-01,3.2,3.27,3.2,3.24,10899172
2023-12-29,3.2,3.25,3.13,3.2,5949943
2023-12-28,3.29,3.33,2.98,3.2,9457635
2023-12-27,3.34,3.36,3.26,3.29,9181319
2023-12-26,3.3,3.35,3.21,3.29,10234218
2023-12-22,3.24,3.28,3.16,3.21,6302398
2023-12-21,3.0,3.2,2.87,3.14,8463185
2023-12-20,3.32,3.41,3.0,3.05,17668391
2023-12-19,3.42,3.42,3.18,3.28,13043860
2023-12-18,3.43,3.43,3.22,3.34,22875010
2023-12-15,3.19,3.24,3.11,3.22,10117281
2023-12-14,3.26,3.26,3.1,3.14,9864706
2023-12-13,3.37,3.37,3.03,3.2,20478418
2023-12-12,3.41,3.41,3.1,3.26,31466770
2023-12-11,2.95,3.11,2.91,3.11,37133793
2023-12-08,2.69,2.84,2.63,2.83,20067354
2023-12-07,2.66,2.7,2.53,2.63,22561001
2023-12-06,2.83,2.83,2.66,2.66,20437944
2023-12-05,2.89,2.89,2.78,2.79,12082290
2023-12-04,2.84,2.89,2.78,2.88,23486156
2023-12-01,2.7,2.77,2.64,2.76,16918597
2023-11-30,2.72,2.78,2.57,2.64,67079444
2023-11-29,2.83,2.96,2.68,2.7,207737169
2023-11-28,2.82,2.9,2.82,2.82,17674295
2023-11-24,2.96,3.06,2.96,2.96,74038962
2023-11-23,3.28,3.36,3.11,3.11,26111119
2023-11-22,3.45,3.58,3.24,3.27,56627129
2023-11-21,3.5,3.63,3.37,3.41,19967600
2023-11-20,3.49,3.49,3.4,3.49,16029880
2023-11-17,3.45,3.46,3.26,3.33,13597406
2023-11-16,3.38,3.68,3.38,3.38,44957946
2023-11-15,3.86,3.91,3.55,3.55,30936891
2023-11-13,3.69,3.73,3.56,3.73,6012858
2023-11-10,3.45,3.49,3.32,3.4,7738315
2023-11-09,3.45,3.45,3.31,3.45,10794970
2023-11-08,3.4,3.4,3.24,3.29,13748702
2023-11-07,3.18,3.24,3.16,3.24,4778408
2023-11-06,3.09,3.09,3.04,3.09,4875097
2023-11-03,2.87,2.98,2.86,2.95,3598316
2023-11-02,2.86,2.86,2.82,2.84,1230135
2023-11-01,2.87,2.87,2.76,2.82,1146294
2023-10-31,2.85,2.89,2.81,2.83,1432136
2023-10-30,2.9,2.97,2.85,2.86,2194798
2023-10-27,2.75,2.87,2.7,2.85,2489754
2023-10-26,2.82,2.82,2.71,2.75,2957231
2023-10-25,2.86,2.94,2.75,2.85,1730171
2023-10-23,2.99,3.0,2.83,2.85,3080002
2023-10-20,2.99,2.99,2.88,2.96,2034150
2023-10-19,2.96,3.0,2.9,2.96,1622334
2023-10-18,2.99,3.05,2.9,2.97,2008062
2023-10-17,2.97,3.0,2.82,2.94,4409577
2023-10-16,3.07,3.09,2.9,2.96,3593005
2023-10-13,3.07,3.07,3.02,3.03,3664036
2023-10-12,3.01,3.01,3.01,3.01,2116883
2023-10-11,2.96,2.96,2.96,2.96,2916104
2023-10-10,2.89,2.91,2.89,2.91,1658275
2023-10-09,2.93,2.93,2.88,2.88,3706942
2023-10-06,2.88,2.88,2.88,2.88,925435
2023-10-05,2.83,2.83,2.83,2.83,1402028
2023-10-04,2.78,2.78,2.77,2.78,2195567
2023-10-03,2.7,2.73,2.7,2.73,2181164
2023-09-29,2.7,2.7,2.68,2.68,1346621
2023-09-28,2.77,2.78,2.72,2.72,2713913
2023-09-27,2.82,2.82,2.77,2.77,3459918
2023-09-26,2.82,2.82,2.82,2.82,5932238
2023-09-25,2.76,2.77,2.76,2.77,4842275
2023-09-22,2.81,2.81,2.81,2.81,1924512
2023-09-21,2.86,2.86,2.86,2.86,761982
2023-09-20,2.91,2.91,2.91,2.91,1574843
2023-09-18,2.9,2.96,2.9,2.96,7800062
2023-09-15,2.95,2.95,2.95,2.95,1259440
2023-09-14,3.01,3.01,3.01,3.01,1303125
2023-09-13,3.07,3.07,3.07,3.07,1670938
2023-09-12,3.26,3.26,2.96,3.13,17775525
2023-09-11,3.02,3.11,3.02,3.11,6368434
2023-09-08,2.97,2.98,2.79,2.97,11161523
2023-09-07,2.82,2.88,2.75,2.87,12706655
2023-09-06,2.61,2.76,2.57,2.75,18037674
2023-09-05,2.41,2.64,2.41,2.63,51375863
2023-09-04,2.53,2.65,2.53,2.53,37449458
2023-09-01,2.66,2.8,2.66,2.66,13579744
2023-08-31,2.78,3.05,2.78,2.8,80048152
2023-08-30,2.92,2.92,2.92,2.92,2554351
2023-08-29,3.07,3.07,3.07,3.07,1365081
2023-08-28,3.23,3.23,3.23,3.23,984588
2023-08-25,3.39,3.39,3.39,3.39,271108
2023-08-24,3.45,3.45,3.45,3.45,302843
2023-08-23,3.52,3.52,3.52,3.52,208705
2023-08-22,3.59,3.59,3.59,3.59,211304
2023-08-21,3.66,3.66,3.66,3.66,201697
2023-08-18,3.73,3.73,3.73,3.73,186670
2023-08-17,3.8,3.8,3.8,3.8,563018
2023-08-16,3.87,3.87,3.87,3.87,1750552
2023-08-14,3.8,3.8,3.8,3.8,1192929
2023-08-11,3.73,3.73,3.73,3.73,592400
2023-08-10,3.66,3.66,3.66,3.66,1329756
2023-08-09,3.59,3.59,3.59,3.59,1644991
2023-08-08,3.52,3.52,3.52,3.52,867299
2023-08-07,3.45,3.46,3.45,3.46,808995
2023-08-04,3.4,3.4,3.4,3.4,1268139
2023-08-03,3.34,3.34,3.34,3.34,362008
2023-08-02,3.4,3.4,3.4,3.4,1569297
2023-08-01,3.46,3.46,3.46,3.46,512820
2023-07-31,3.53,3.53,3.53,3.53,643334
2023-07-28,3.6,3.6,3.6,3.6,973286
2023-07-27,3.67,3.67,3.67,3.67,263816
2023-07-26,3.74,3.74,3.74,3.74,452045
2023-07-25,3.81,3.81,3.81,3.81,157471
2023-07-24,3.88,3.88,3.88,3.88,282929
2023-07-20,4.1,4.2,3.83,3.95,2330097
2023-07-19,4.16,4.2,3.99,4.03,1870889
2023-07-18,4.16,4.23,3.83,4.08,3000016
2023-07-17,3.93,4.03,3.93,4.03,2411391
2023-07-14,3.7,3.84,3.7,3.84,3319480
2023-07-13,3.32,3.66,3.32,3.66,2719150
2023-07-12,4.3,4.33,4.12,4.15,2471193
2023-07-11,4.38,4.38,4.02,4.26,3186689
2023-07-10,4.03,4.23,4.03,4.23,3617136
2023-07-07,3.88,4.06,3.88,4.03,2894874
2023-07-06,3.88,3.99,3.84,3.87,774119
2023-07-05,3.99,4.01,3.9,3.94,783367
2023-07-04,3.99,4.02,3.8,3.89,883377
2023-07-03,3.94,3.99,3.75,3.9,820992
2023-06-30,4.1,4.15,3.89,3.92,1365196
2023-06-28,4.1,4.2,4.05,4.06,1873181
2023-06-27,3.89,4.01,3.72,4.0,1791832
2023-06-26,3.67,3.83,3.5,3.82,1612015
2023-06-23,3.78,3.78,3.6,3.65,1345262
2023-06-22,3.8,3.9,3.7,3.77,1204175
2023-06-21,3.76,4.0,3.76,3.89,5443998
2023-06-20,3.95,3.95,3.95,3.95,683623
2023-06-19,4.15,4.15,4.15,4.15,813601
2023-06-16,3.98,4.36,3.96,4.36,4284202
2023-06-15,4.16,4.16,4.16,4.16,1167190
2023-06-14,4.37,4.37,4.37,4.37,689902
2023-06-13,4.59,4.59,4.59,4.59,651927
2023-06-12,4.9,5.12,4.83,4.83,1935534
2023-06-09,4.95,5.08,4.8,5.08,12194370
2023-06-08,4.62,4.62,4.45,4.62,3824804
2023-06-07,4.2,4.2,4.01,4.2,8745967
2023-06-06,3.66,3.82,3.66,3.82,1484272
2023-06-05,3.49,3.65,3.46,3.64,3735822
2023-06-02,3.49,3.5,3.43,3.48,851641
2023-06-01,3.48,3.5,3.43,3.46,719539
2023-05-31,3.45,3.52,3.39,3.42,721472
