Date,Open,High,Low,Close,Volume
2022-01-21,42.9,42.9,41.4,41.4,6000
2022-01-20,46.7,46.7,42.3,42.9,52000
2022-01-19,44.5,44.5,44.5,44.5,8000
2022-01-18,42.4,42.4,42.4,42.4,6000
2022-01-17,40.4,40.4,40.4,40.4,6000
2022-01-14,38.5,38.5,38.5,38.5,4000
2022-01-13,36.7,36.7,36.7,36.7,24000
2022-01-12,32.25,33.4,30.7,33.4,22000
2022-01-11,29.7,32.25,29.7,30.4,24000
2022-01-10,27.3,30.0,27.3,29.35,12000
2022-01-06,27.3,27.3,27.3,27.3,2000
2022-01-05,27.3,27.3,27.3,27.3,2000
2022-01-04,27.8,27.8,27.8,27.8,2000
2022-01-03,26.0,28.3,26.0,28.3,16000
2021-12-20,25.75,25.75,25.75,25.75,6000
2021-12-16,28.6,28.6,28.6,28.6,2000
2021-12-14,26.0,26.0,26.0,26.0,2000
2021-12-13,25.95,26.0,25.95,26.0,6000
2021-12-10,25.0,25.0,25.0,25.0,2000
2021-12-09,25.5,25.5,25.5,25.5,4000
2021-12-07,24.75,25.95,24.7,25.95,12000
2021-11-29,26.0,26.0,26.0,26.0,2000
2021-11-26,26.0,26.0,26.0,26.0,2000
2021-11-23,24.3,25.9,24.3,25.9,8000
2021-11-11,26.0,26.0,25.55,25.55,4000
2021-11-09,24.7,26.7,24.65,26.7,8000
2021-10-28,24.55,25.9,24.5,25.9,20000
2021-10-27,25.8,25.8,25.75,25.75,10000
2021-10-22,27.1,27.1,27.1,27.1,4000
2021-10-21,26.05,28.5,26.05,28.5,4000
2021-10-19,27.15,27.15,27.15,27.15,4000
2021-10-13,26.65,28.55,26.65,28.55,4000
2021-10-12,26.0,28.65,25.95,28.0,24000
2021-10-08,27.3,27.3,27.3,27.3,2000
2021-10-07,26.7,27.3,26.7,27.3,8000
2021-10-06,28.9,28.9,26.0,26.0,18000
2021-10-04,28.9,28.9,28.0,28.85,6000
2021-10-01,29.0,29.0,28.45,28.5,34000
2021-09-30,30.9,32.6,30.6,31.6,20000
2021-09-29,34.0,34.0,34.0,34.0,2000
2021-09-28,30.9,32.0,30.9,32.0,4000
2021-09-27,30.9,30.9,30.9,30.9,6000
2021-09-24,32.1,32.1,32.1,32.1,2000
2021-09-23,27.1,29.2,27.1,29.2,4000
2021-09-21,28.25,29.8,28.0,29.8,6000
2021-09-20,28.3,28.3,28.0,28.0,18000
2021-09-17,28.65,29.95,28.65,29.95,4000
2021-09-16,30.25,30.25,30.25,30.25,8000
2021-09-15,30.25,30.25,28.65,30.0,16000
2021-09-14,30.25,31.0,28.5,30.25,20000
2021-09-13,30.0,30.25,29.5,30.25,74000
2021-09-09,25.0,27.5,25.0,27.5,52000
2021-09-07,25.0,25.0,25.0,25.0,2000
2021-09-06,25.0,25.05,25.0,25.05,4000
2021-09-03,25.0,25.0,25.0,25.0,2000
2021-09-02,26.0,26.0,26.0,26.0,2000
2021-09-01,27.0,27.0,27.0,27.0,2000
2021-08-31,26.0,30.0,25.65,30.0,10000
2021-08-30,26.0,28.5,25.15,28.5,14000
2021-08-27,30.0,30.0,27.75,27.75,6000
2021-08-26,26.0,30.75,26.0,30.75,4000
2021-08-24,28.25,28.25,28.25,28.25,4000
2021-08-23,28.3,28.3,26.0,28.2,8000
2021-08-20,25.6,28.25,25.6,28.25,4000
2021-08-18,22.15,26.1,22.15,26.1,14000
2021-08-17,24.6,24.6,24.6,24.6,10000
2021-08-16,27.3,27.3,27.3,27.3,2000
2021-08-13,30.3,30.3,30.3,30.3,2000
2021-08-12,33.65,33.65,33.65,33.65,2000
2021-06-29,30.7,30.7,30.7,30.7,2000
2021-06-18,32.3,32.3,32.3,32.3,2000
2021-06-17,34.0,34.0,30.8,34.0,6000
2021-06-15,32.4,32.4,32.4,32.4,2000
2021-06-10,34.1,34.1,34.1,34.1,2000
2021-06-09,32.5,32.5,32.5,32.5,8000
2021-06-07,34.2,34.2,34.2,34.2,4000
2021-06-04,34.1,37.55,34.1,35.95,8000
2021-06-03,32.8,35.85,32.55,35.85,8000
2021-06-02,31.25,34.25,31.25,34.25,4000
