BSE_securities_name
Harshdeep
Anuroop Packagin
Rossari Biotech
Bata India
Baba Food
Rex Pipes&Cables
Ganesh Benzopl.
Indo Count Inds.
LKP Finance
Windlas Biotech
Ram Ratna Wires
Uniparts India
Trident Lifeline
KDDL Ltd
Mastek
Maiden Forgings
HP Adhesives
SP Refractories
Lak. Mach. Works
National Plastic
Century Plyboard
Dr Agarwal's Eye
SMC Global Sec.
Lactose (India)
Hindustan Copper
Prem. Explosives
Cantabil Retail
Walchand People
Ashika Credit
AGI Greenpac
Containe Tech.
ISMT
RACL Geartech
Elnet Technolog
Sarthak Metals
Hindcon Chemical
Sudarshan Pharma
Uttam Sug.Mills
Darshan Orna
Balmer Law. Inv.
Bodhi Tree
Wardwizard Inno.
Golkunda Diamond
Vardhman Special
Varroc Engineer
N G Industries
Creative Casting
Shradha AI Tech
Honasa Consumer
Oil India
Akar Auto Indust
Kamat Hotels
Lumax Auto Tech.
T & I Global
Bombay Oxygen
eMudhra
Kings Infra
Emk.Global Fin.
Rathi Steel
Balkrishna Inds
Endurance Tech.
Raasi Refractor
Northern Spirits
Gowra Leasing
Goodluck India
Linde India
Tata Comm
IEL
Shankara Build.
Stanley Lifesty.
Rajratan Global
S P I C
Steel Str. Wheel
Epigral
MIC Electronics
Fredun Pharma
Savera Industrie
PDS
Koura Fine Diamo
Chembond Chem.
Kunststoff Inds.
Essen Speciality
Saroja Pharma In
Spectrum Talent
A G Universal
Galaxy Surfact.
Kennametal India
Panch.Organics
Indian Toners
Avro India
JTEKT India
Rategain Travel
Falcon
Sun Pharma.Inds.
Betex India
Mallcom (India)
ACC
Vidhi Specialty
Zaggle Prepaid
Sigachi Indust.
Nalin Lease Fin.
Star Health Insu
Bansal Roofing
JK Lakshmi Cem.
Lumax Industries
Touchwood Enter.
Tara Chand Infra
Hitachi Energy
Gothi Plascon
Indian Sucrose
Sadhav
Ascom Leasing &
Rishi Laser
Century Extrus.
Indo Amines
Logica Infoway
Nila Spaces
Alphalogic Tech.
Integra Essentia
Power & Instrum.
Crop Life Scienc
F A C T
Sumedha Fiscal
G R Infraproject
Jagsonpal Pharma
Intense Tech.
Ritco Logistics
XPRO India
Gujarat Intrux
Purshottam Inves
Prima Plastics
Natl. Aluminium
Beardsell
Gufic BioScience
ITL Industries
Thermax
Wipro
Carysil
Bhatia Communic.
Duropack
IBL Finance
Heritage Foods
Morepen Labs.
Vimta Labs
Innovators
Bombay Cycle
