Security Code,Company Name
506543,M.P. Agro Industries Ltd.
506579,Oriental Carbon & Chemicals Ltd.
506590,PCBL LIMITED
506597,Amal Ltd
506605,Polychem Ltd
506618,Punjab Chemicals and Crop Protection Ltd.
506640,Gujchem Distillers India Ltd.
506642,Sadhana Nitrochem Ltd.
506655,Sudarshan Chemical Indus. Ltd.
506680,Tecil Chemicals & Hydro Power Limit
506685,Ultramarine & Pigments Ltd.
506687,Transpek Industry Ltd.
506690,Unichem Laboratories Ltd.
506734,Mysore Petro Chemicals Ltd.
506767,Alkyl Amines Chemicals Ltd.
506808,TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LIMITED
506820,AstraZeneca Pharma India Ltd.
506852,Primo Chemicals Limited
506854,TANFAC Industries Ltd.
506858,Gujarat Petrosynthese Ltd.
506879,Gujarat Themis Biosyn Ltd.
506906,Saptak Chem And Business Limited
506919,Makers Laboratories Ltd.
506935,Continental Chemicals Ltd.
506943,J.B. Chemicals & Pharmaceuticals Lt
506945,Indo Gulf Industries  Ltd.
506947,Advance Petrochemicals Ltd.
506975,Rajasthan Petro Synthetics Ltd.
506979,Apt Packaging Ltd
506981,Blue Chip Tex Industries Ltd.
507155,Jagatjit Industries Ltd.
507180,Kesar Enterprises Ltd.
507205,Tilaknagar Industries Ltd
507265,Emerald Leisures Limited
507300,The Ravalgaon Sugar Farm Limited
507315,Sakthi Sugars Ltd.
507410,Walchandnagar Industries Ltd
507438,IFB Agro Industries Ltd
507474,Kothari Fermanatation & Biochem Ltd
507486,Caprolactam Chemicals ltd.
507488,G.M. Breweries Ltd.
507490,Rana Sugars Ltd.
507498,Piccadily Sugar  & Allied Ltd.
507514,Som Distilleries & Breweries Ltd.
507515,C.J. Gelatine Products Ltd.
507526,Associated Alcohols & Breweries Ltd
507530,THAKKERS GROUP LIMITED
507543,Coromandel Agro Products & Oils Ltd
507552,Foods & Inns Ltd.
507580,IVP Ltd.
507598,KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD
507609,Olympic Oil Industries Ltd.
507621,Milkfood Ltd.
507645,Polson Ltd.
507663,Sagar Soya Products Ltd.
507685,Wipro  Ltd.
507690,Orient Beverages Ltd.
507717,Dhanuka Agritech Ltd.
507747,TTK Healthcare Ltd.
507753,TGV SRAAC LIMITED
507759,Lime Chemicals Ltd.
507779,Kanpur Plastipack Limited
507785,Tainwala Chemicals & Plastics Ltd
507789,Jagsonpal Pharmaceuticals Limited
507794,Khaitan Chemicals & Fertilizers Ltd
507808,United Leasing & Industries Ltd
507813,National Oxygen Ltd.
507815,Gillette India Ltd.
507817,Wires & Fabriks (SA) Ltd.
507828,ANSAL HOUSING LIMITED
507833,Computer Point Ltd.
507836,Mac Charles (India) Ltd.
507852,Addi Industries Ltd.
507864,Pioneer Investcorp Ltd
507872,Ashnoor Textiles Mills Ltd.
507878,Unitech Ltd.
507880,V.I.P. Industries Ltd.
507910,FIBERWEB (INDIA) LTD.
507912,LKP Finance Limited
507938,Manipal Finance Corporation Ltd.
507944,Bajaj Steel Industries Ltd.
507946,Kiduja  India  Ltd
507948,Key Corp Ltd
507952,Shikhar Leasing and Trading Ltd.
507960,Gujarat Hotels Ltd.
507962,Rajath Finance Limited
507966,Ras Resorts & Apart Hotels Ltd.
507970,Paramount Cosmetics (India) Ltd
507981,Jindal Hotels Ltd.
507987,Jupiter Industries & Leasing Ltd.
507998,Simmonds-Marshall Ltd
508136,B & A Ltd.
508486,Hawkins Cooker Ltd.
508494,Warren Tea Ltd.
508571,Cochin Malabar Estates & Indus. Ltd
508664,Best Eastern Hotels Limited
508670,Neelamalai Agro Industries Ltd.
508807,IST Limited
508814,Cosmo First Limited
508869,Apollo Hospitals Enterprises Ltd.
508875,Nitin Castings Limited
508905,SMIFS Capital Markets Ltd.
508906,Everest Industries Ltd.
508918,IRONWOOD EDUCATION LIMITED
508922,MSR India Limited
508933,AYM Syntex Limited
508941,Panasonic Carbon India Co.Ltd
508954,Finkurve Financial Services Limited
508956,HB Leasing & Finance Co. Ltd.
508961,Shricon Industries Ltd.
508963,Sterling Guarantee & Fin. Ltd
508969,Sulabh Engineers & Services Limited
508980,Frontier Capital Limited
508989,Navneet Education Limited
508993,Kedia Construction Co. Ltd.
509003,Transoceanic Properties Ltd.
509009,AuSom Enterprise Limited
509015,Thakral Services (India) Limited
509020,Ruchi Infrastructure Ltd
509026,VJTF Eduservices Limited
509038,Voltaire Leasing & Finance Ltd.
509040,Netlink Solutions (India) Ltd.
509046,TRILIANCE POLYMERS LIMITED
509048,Lancor Holdings Ltd.
509051,Indian Infotech And Software Ltd.
509053,Banas Finance Limited
509055,Visaka Industries Ltd.
509073,Hathway Bhawani Cabletel & Datacom
509079,Gufic BioSciences Ltd.
509084,Photon Capital Advisors Ltd
509152,GRP Limited
509162,Indag Rubber Ltd.
509196,M.M. Rubber Company Ltd.
509220,PTL Enterprises Ltd
509243,TVS Srichakra Ltd.
509423,Sanathnagar Enterprises Limited
509438,Benares Hotels Ltd
509449,Bhagwati Oxygen Ltd.
509470,BOMBAY OXYGEN INVESTMENTS LIMITED
509472,Cravatex Ltd.
509480,Berger Paints India Ltd
509486,Caprihans India Ltd.
509488,Graphite India Ltd.
509496,ITD Cementation India Ltd
509525,Empire Industries Ltd.
509546,Graviss Hospitality Ltd
509557,GARWARE TECHNICAL FIBRES LIMITED
509563,Garware Marine Industries Ltd.
509567,Goa Carbon Ltd.
509597,Hardcastle & Waud Mfg. Co. Ltd.
509631,HEG Ltd.
509635,Hindustan Composites Ltd
509650,Hindustan Housing Co. Ltd.
509675,HIL Limited
509692,Indian Card Clothing Ltd
509709,International Conveyors Ltd.
509715,Jay Shree Tea & Industries Ltd.
509732,Kothari Industrial Corpn. Ltd.
509760,Modern Shares and Stockbrokers Ltd.
509782,Oseaspre Consultants Ltd.
509820,HUHTAMAKI INDIA LIMITED
509835,Premier Synthetics Ltd.
509845,R.J. Shah & Co. Ltd.
509870,Shah Construction Co. Ltd.
509874,Shalimar Paints Ltd.
509887,Sinnar Bidi Udyog Ltd.
509895,Hindoostan Mills Ltd.
509910,Southern Gas Ltd.
509917,Technojet Consultants Ltd.
509930,Supreme Industries Ltd.
509945,Thacker & Co. Ltd.
509960,U.P. Hotels Ltd.
509966,VST Industries Ltd.
510245,Swasti Vinayaka Synthetics Ltd.
511000,Madhusudan Securities Ltd
511012,Yamini Investments Company Limited
511016,Premier Capital Services Ltd.
511018,MILGREY FINANCE & INVESTMENT LTD
511034,Jindal Drilling & Industries Ltd.
511048,Kusam Electrical Industies Ltd.
511060,Jumbo Finance Ltd.
511066,Sakthi Finance Ltd.
511074,EASY FINCORP LIMITED
511076,Sat Industries Ltd
511092,JMD Ventures Limited
511096,Tivoli Construction Ltd.
511108,Shiva Texyarn Ltd.
511110,V.B.Desai Financial Services Ltd
511116,Quadrant Televentures Limited
511122,First Custodian Fund (India) Ltd.
511131,Kamanwala Housing Construction Ltd
511147,WSFX Global Pay Limited
511153,Anjani Foods Limited
511176,Parshwanath Corporation Limited
511185,RAJVI LOGITRADE LIMITED
511187,Millennium Online Solutions (India) Ltd
511194,ICDS Ltd.
511196,Can Fin Homes Ltd.
511200,Munoth Capital Market Ltd
511208,IL & FS Investment Managers Ltd.
511218,Shriram Finance Limited
511243,Cholamandalam Investment and Finance Company Ltd
511246,BOMBAY TALKIES LIMITED
511254,Sagar Systech Ltd.
511260,ID INFO BUSINESS SERVICES LTD.
511333,VLS Finance Limited
511355,India Cements Capital Limited
511359,AD-Manum Finance Ltd
511377,Mehta Integrated Finance Ltd.
511391,Inter Globe Finance Ltd.
511401,MUNOTH COMMUNICATION LIMITED
511411,SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.
511413,CREST VENTURES LIMITED
511431,Vakrangee Limited
511441,Gujarat Credit Corporation Ltd.
511447,Sylph Technologies Ltd
511451,Dharani Finance Ltd.
511463,Alexander Stamps And Coin Limited
511473,Indbank Merchant Banking Services L
511493,SHRYDUS INDUSTRIES LIMITED
511501,Bharat Bhushan Share & Commodity Brokers Ltd.
511505,Capital Trust Ltd.
511507,Ushakiran Finance Ltd.
511509,Vivo Bio tech Ltd.
511523,Veerhealth Care Limited
511525,Pan India Corporation Ltd
511533,Sahara HousingFina Corporation Ltd.
511535,NDA Securities ltd.
