Date,Open,High,Low,Close,Total Trades,Traded Quantity
2015-03-04 00:00:00+05:30,119.5982582330124,121.27095966579304,115.10286457593531,115.44263458251953,41674,4810956.353591919
2015-03-05 00:00:00+05:30,115.52104139814212,117.50737665482738,113.76993152727599,116.3835220336914,19662,2288332.8102264404
2015-03-09 00:00:00+05:30,115.28582354572131,117.11534199807777,114.5017388750878,115.05059814453125,21817,2510058.8997192383
2015-03-10 00:00:00+05:30,117.0630660268013,117.14147449141326,112.95971460368469,113.95288848876953,13645,1554887.1634292603
2015-03-11 00:00:00+05:30,113.45628766234051,114.99830816522075,111.88813100778796,114.1880874633789,30594,3493470.3478546143
2015-03-12 00:00:00+05:30,113.53471949036609,119.44145364694974,113.53471949036609,118.99713897705078,58101,6913852.771705627
2015-03-13 00:00:00+05:30,119.41529479939513,124.92998555232064,114.9983099883227,116.09601593017578,65166,7565512.974105835
2015-03-16 00:00:00+05:30,115.9130798974838,117.63806618866771,112.69835761003633,114.13583374023438,21711,2478003.0863342285
2015-03-17 00:00:00+05:30,114.86763255553757,114.89376870838137,112.46311893969404,113.01197814941406,35658,4029781.1168518066
2015-03-18 00:00:00+05:30,112.98584787026117,114.08355390097958,112.38471632360304,112.61994171142578,44336,4993117.735717773
2015-03-19 00:00:00+05:30,114.21423348117744,114.58013963619783,112.12336605835041,112.69834899902344,34217,3856199.407699585
2015-03-20 00:00:00+05:30,113.50856388652542,113.50856388652542,109.22225975577979,110.0586166381836,26395,2904997.186164856
2015-03-23 00:00:00+05:30,109.32680139080622,110.84268575312215,108.75180604980181,110.2415542602539,19367,2135048.1813583374
2015-03-24 00:00:00+05:30,109.53590919745405,111.83587850606322,108.85636913365468,109.6927261352539,15830,1736435.8547210693
2015-03-25 00:00:00+05:30,110.7642963134475,110.81656862614925,109.24841169088583,109.50977325439453,21080,2308466.0202026367
2015-03-26 00:00:00+05:30,110.16315531127583,111.26086121448338,108.20295641957314,109.43134307861328,24955,2730859.1665267944
2015-03-27 00:00:00+05:30,110.24157067793443,110.26770683369058,107.68025230540835,108.83023071289062,14719,1601872.165863037
2015-03-30 00:00:00+05:30,108.72568283976204,114.73696114661854,108.72568283976204,112.56767272949219,23785,2677422.0958709717
2015-03-31 00:00:00+05:30,112.881296833707,114.84149584162908,111.3915485746751,112.04495239257812,9794,1097368.2637329102
2015-04-01 00:00:00+05:30,113.40401251515647,119.15392840151583,112.93356179685227,118.10848236083984,71559,8451724.889259338
2015-04-06 00:00:00+05:30,117.61191229637788,120.22550260336347,117.58577614439228,119.18006896972656,29073,3464922.1451568604
2015-04-07 00:00:00+05:30,118.70962974721158,120.6959650449773,116.33125213163923,118.57894897460938,18746,2222880.9774780273
2015-04-08 00:00:00+05:30,118.21303389533058,124.51180932232036,118.21303389533058,122.8913803100586,77364,9507368.746307373
2015-04-09 00:00:00+05:30,125.37430101711452,130.99353697561372,123.72773570644028,125.68793487548828,84701,10645893.771888733
2015-04-10 00:00:00+05:30,126.99473741952875,139.2263702748245,125.97542742154472,138.15480041503906,247435,34184333.04069519
2015-04-13 00:00:00+05:30,139.35704793384556,147.40693333974522,136.7957173649355,144.92401123046875,237767,34458147.37823486
2015-04-15 00:00:00+05:30,145.57741471426664,148.9228174257631,135.12301568360616,143.77403259277344,150240,21600610.65673828
2015-04-16 00:00:00+05:30,144.2706136400555,149.9421217948226,140.08886628276045,142.33656311035156,84560,12035979.776611328
2015-04-17 00:00:00+05:30,143.6172225200213,147.40694001570404,141.134300298295,143.48654174804688,47757,6852486.774261475
2015-04-20 00:00:00+05:30,145.81263517398153,145.81263517398153,134.20825824199738,135.98550415039062,43074,5857439.605773926
2015-04-21 00:00:00+05:30,138.44230576173382,138.5468379369041,132.77079741210068,135.8025665283203,23513,3193125.7467803955
2015-04-22 00:00:00+05:30,137.84116724000626,138.52070724196776,134.2866751982443,136.09005737304688,29564,4023366.456176758
2015-04-23 00:00:00+05:30,138.36389180011346,142.10133695934917,136.9525394732337,138.18093872070312,27442,3791961.320373535
2015-04-24 00:00:00+05:30,137.03093183519096,137.34456564875782,131.72533049304369,132.1435089111328,22613,2988161.1670074463
2015-04-27 00:00:00+05:30,131.88215601538644,134.07758040799027,122.05502477723877,126.68109893798828,74246,9405564.871749878
2015-04-28 00:00:00+05:30,126.68110158225795,133.81622167281455,126.65496542887442,130.20945739746094,46683,6078568.099685669
2015-04-29 00:00:00+05:30,129.3731025524929,133.00600303916931,129.3731025524929,131.75148010253906,24516,3230019.2861938477
2015-04-30 00:00:00+05:30,131.69920701263328,137.47525963084223,130.75831792719646,136.84799194335938,73160,10011799.090576172
2015-05-04 00:00:00+05:30,136.6389112755358,143.14677660356918,136.6389112755358,141.6570281982422,56175,7957583.559036255
2015-05-05 00:00:00+05:30,142.67631320960214,143.12062781017372,138.2854768471974,139.618408203125,15433,2154730.893798828
2015-05-06 00:00:00+05:30,139.5661562069081,140.61159003224492,132.4833075031868,133.2673797607422,57027,7599838.865615845
2015-05-07 00:00:00+05:30,133.29349400585164,134.86165070896735,127.56971394971782,130.3401336669922,34762,4530883.726531982
2015-05-08 00:00:00+05:30,129.39923386632972,137.47525530542381,127.54357946169864,136.79571533203125,94320,12902571.870117188
